route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BCT02,18JUN_muwtf,18JUN_02-02_1_muwtf,WESTVIEW DRIVE,0,02-02,18JUN_210
BCT02,18JUN_muwtf,18JUN_02-02_2_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-02,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-02_3_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-02,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-02_4_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-02,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-02_5_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-02,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-02_6_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-02,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-02_7_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-02,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-02_8_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-02,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-02_9_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-02,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-02_10_muwtf,WEST TERMINAL,1,02-02,18JUN_207
BCT02,18JUN_muwtf,18JUN_02-02_11_muwtf,WESTVIEW DRIVE,0,02-02,18JUN_210
BCT02,18JUN_muwtf,18JUN_02-04_1_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-04,18JUN_205
BCT02,18JUN_muwtf,18JUN_02-04_2_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-04,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-04_3_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-04,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-04_4_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-04,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-04_5_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-04,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-04_6_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-04,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-04_7_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-04,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-06_1_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-06,18JUN_205
BCT02,18JUN_muwtf,18JUN_02-06_2_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-06,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-06_3_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-06,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-06_4_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-06,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-06_5_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-06,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-06_6_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-06,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-06_7_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-06,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-06_8_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-06,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-06_9_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-06,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-08_1_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-08,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-08_2_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-08,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-08_3_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-08,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-08_4_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-08,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-08_5_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-08,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-08_6_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-08,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-08_7_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-08,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-08_8_muwtf,WEST TERMINAL,0,02-08,18JUN_206
BCT02,18JUN_muwtf,18JUN_02-10_1_muwtf,WESTVIEW DRIVE,0,02-10,18JUN_210
BCT02,18JUN_muwtf,18JUN_02-10_2_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-10,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-10_3_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-10,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-10_4_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-10,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-10_5_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-10,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-10_6_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-10,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-10_7_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-10,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-10_8_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-10,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-10_9_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-10,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-12_1_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-12,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-12_2_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-12,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-12_3_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-12,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-12_4_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-12,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-12_5_muwtf,WEST TERMINAL,1,02-12,18JUN_207
BCT02,18JUN_muwtf,18JUN_02-12_6_muwtf,WESTVIEW DRIVE,0,02-12,18JUN_210
BCT02,18JUN_muwtf,18JUN_02-14_1_muwtf,WESTVIEW DRIVE,0,02-14,18JUN_210
BCT02,18JUN_muwtf,18JUN_02-14_2_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-14,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-14_3_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-14,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-14_4_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-14,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-14_5_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-14,18JUN_201
BCT02,18JUN_muwtf,18JUN_02-14_6_muwtf,207ST - MIAMI via WEST TERMINAL,1,02-14,18JUN_202
BCT02,18JUN_muwtf,18JUN_02-14_7_muwtf,WESTVIEW DRIVE via WEST TERMINAL,0,02-14,18JUN_201
BCT10,18JUN_muwtf,18JUN_10-01_1_muwtf,CENTRAL TERMINAL,1,10-01,18JUN_1003
BCT10,18JUN_muwtf,18JUN_10-01_2_muwtf,BOCA RATON,0,10-01,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-01_3_muwtf,CENTRAL TERMINAL,1,10-01,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-01_4_muwtf,BOCA RATON,0,10-01,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-01_5_muwtf,CENTRAL TERMINAL,1,10-01,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-01_6_muwtf,BOCA RATON,0,10-01,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-01_7_muwtf,CENTRAL TERMINAL,1,10-01,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-01_8_muwtf,BOCA RATON,0,10-01,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-01_9_muwtf,CENTRAL TERMINAL,1,10-01,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-01_10_muwtf,BOCA RATON,0,10-01,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-01_11_muwtf,CENTRAL TERMINAL,1,10-01,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-01_12_muwtf,BOCA RATON,0,10-01,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-01_13_muwtf,CENTRAL TERMINAL,1,10-01,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-02_1_muwtf,BOCA RATON,0,10-02,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-02_2_muwtf,CENTRAL TERMINAL,1,10-02,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-02_3_muwtf,BOCA RATON,0,10-02,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-02_4_muwtf,CENTRAL TERMINAL,1,10-02,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-02_5_muwtf,BOCA RATON,0,10-02,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-02_6_muwtf,CENTRAL TERMINAL,1,10-02,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-02_7_muwtf,BOCA RATON,0,10-02,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-02_8_muwtf,CENTRAL TERMINAL,1,10-02,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-02_9_muwtf,BOCA RATON,0,10-02,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-02_10_muwtf,CENTRAL TERMINAL,1,10-02,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-03_1_muwtf,BOCA RATON,0,10-03,18JUN_1007
BCT10,18JUN_muwtf,18JUN_10-03_2_muwtf,CENTRAL TERMINAL,1,10-03,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-03_3_muwtf,BOCA RATON,0,10-03,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-03_4_muwtf,CENTRAL TERMINAL,1,10-03,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-03_5_muwtf,BOCA RATON,0,10-03,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-03_6_muwtf,CENTRAL TERMINAL,1,10-03,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-03_7_muwtf,BOCA RATON,0,10-03,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-03_8_muwtf,CENTRAL TERMINAL,1,10-03,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-03_9_muwtf,BOCA RATON,0,10-03,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-03_10_muwtf,CENTRAL TERMINAL,1,10-03,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-03_11_muwtf,BOCA RATON,0,10-03,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-03_12_muwtf,CENTRAL TERMINAL,1,10-03,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-03_13_muwtf,BOCA RATON,0,10-03,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-04_1_muwtf,BOCA RATON,0,10-04,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-04_2_muwtf,CENTRAL TERMINAL,1,10-04,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-04_3_muwtf,BOCA RATON,0,10-04,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-05_1_muwtf,CENTRAL TERMINAL,1,10-05,18JUN_1003
BCT10,18JUN_muwtf,18JUN_10-05_2_muwtf,BOCA RATON,0,10-05,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-05_3_muwtf,CENTRAL TERMINAL,1,10-05,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-05_4_muwtf,BOCA RATON,0,10-05,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-05_5_muwtf,CENTRAL TERMINAL,1,10-05,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-05_6_muwtf,BOCA RATON,0,10-05,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-05_7_muwtf,CENTRAL TERMINAL,1,10-05,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-05_8_muwtf,BOCA RATON,0,10-05,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-05_9_muwtf,CENTRAL TERMINAL,1,10-05,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-06_1_muwtf,BOCA RATON,0,10-06,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-06_2_muwtf,CENTRAL TERMINAL,1,10-06,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-06_3_muwtf,BOCA RATON,0,10-06,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-06_4_muwtf,CENTRAL TERMINAL,1,10-06,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-06_5_muwtf,BOCA RATON,0,10-06,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-06_6_muwtf,CENTRAL TERMINAL,1,10-06,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-06_7_muwtf,BOCA RATON,0,10-06,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-06_8_muwtf,CENTRAL TERMINAL,1,10-06,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-06_9_muwtf,BOCA RATON,0,10-06,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-06_10_muwtf,CENTRAL TERMINAL,1,10-06,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-06_11_muwtf,BOCA RATON,0,10-06,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-06_12_muwtf,CENTRAL TERMINAL,1,10-06,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-06_13_muwtf,US 1 - HILLSBORO,0,10-06,18JUN_1005
BCT10,18JUN_muwtf,18JUN_10-07_1_muwtf,BOCA RATON,0,10-07,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-07_2_muwtf,CENTRAL TERMINAL,1,10-07,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-07_3_muwtf,BOCA RATON,0,10-07,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-07_4_muwtf,CENTRAL TERMINAL,1,10-07,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-07_5_muwtf,BOCA RATON,0,10-07,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-07_6_muwtf,CENTRAL TERMINAL,1,10-07,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-07_7_muwtf,BOCA RATON,0,10-07,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-07_8_muwtf,CENTRAL TERMINAL,1,10-07,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-07_9_muwtf,BOCA RATON,0,10-07,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-07_10_muwtf,CENTRAL TERMINAL,1,10-07,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-07_11_muwtf,BOCA RATON,0,10-07,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-07_12_muwtf,CENTRAL TERMINAL,1,10-07,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-08_1_muwtf,BOCA RATON,0,10-08,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-08_2_muwtf,CENTRAL TERMINAL,1,10-08,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-09_1_muwtf,CENTRAL TERMINAL,1,10-09,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-10_1_muwtf,BOCA RATON,0,10-10,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-10_2_muwtf,CENTRAL TERMINAL,1,10-10,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-10_3_muwtf,BOCA RATON,0,10-10,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-11_1_muwtf,CENTRAL TERMINAL,1,10-11,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-11_2_muwtf,BOCA RATON,0,10-11,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-12_1_muwtf,BOCA RATON,0,10-12,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-12_2_muwtf,CENTRAL TERMINAL,1,10-12,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-12_3_muwtf,BOCA RATON,0,10-12,18JUN_1002
BCT10,18JUN_muwtf,18JUN_10-12_4_muwtf,CENTRAL TERMINAL,1,10-12,18JUN_1001
BCT10,18JUN_muwtf,18JUN_10-12_5_muwtf,BOCA RATON,0,10-12,18JUN_1002
BCT11,18JUN_muwtf,18JUN_11-01_1_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-01,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-01_2_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-01,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-01_3_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-01,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-01_4_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-01,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-01_5_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-01,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-01_6_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-01,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-01_7_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-01,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-01_8_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-01,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-01_9_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-01,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-01_10_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-01,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-02_1_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-02,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-02_2_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-02,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-02_3_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-02,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-02_4_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-02,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-02_5_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-02,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-02_6_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-02,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-02_7_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-02,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-02_8_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-02,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-02_9_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-02,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-02_10_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-02,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-02_11_muwtf,CENTRAL TERMINAL,1,11-02,18JUN_1104
BCT11,18JUN_muwtf,18JUN_11-03_1_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-03,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-03_2_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-03,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-03_3_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-03,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-03_4_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-03,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-03_5_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-03,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-03_6_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-03,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-03_7_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-03,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-03_8_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-03,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-03_9_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-03,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-04_1_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-04,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-04_2_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-04,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-04_3_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-04,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-04_4_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-04,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-04_5_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-04,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-04_6_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-04,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-04_7_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-04,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-04_8_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-04,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-04_9_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-04,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-05_1_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-05,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-05_2_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-05,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-05_3_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-05,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-05_4_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-05,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-05_5_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-05,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-05_6_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-05,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-05_7_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-05,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-05_8_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-05,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-05_9_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-05,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-05_10_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-05,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-06_1_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-06,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-06_2_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-06,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-06_3_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-06,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-06_4_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-06,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-06_5_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-06,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-06_6_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-06,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-06_7_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-06,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-06_8_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-06,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-07_1_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-07,18JUN_1101
BCT11,18JUN_muwtf,18JUN_11-07_2_muwtf,US 1 - COPANS via CENTRAL TERMINAL,0,11-07,18JUN_1102
BCT11,18JUN_muwtf,18JUN_11-07_3_muwtf,COMMERCIAL - 441 via CENTRAL TERMINAL,1,11-07,18JUN_1101
BCT14,18JUN_muwtf,18JUN_14-01_1_muwtf,POWERLINE - HILLSBORO via TRI-RAIL,0,14-01,18JUN_1402
BCT14,18JUN_muwtf,18JUN_14-01_2_muwtf,CENTRAL TERMINAL,1,14-01,18JUN_1401
BCT14,18JUN_muwtf,18JUN_14-01_3_muwtf,POWERLINE - HILLSBORO via TRI-RAIL,0,14-01,18JUN_1402
BCT14,18JUN_muwtf,18JUN_14-01_4_muwtf,CENTRAL TERMINAL,1,14-01,18JUN_1401
BCT14,18JUN_muwtf,18JUN_14-01_5_muwtf,POWERLINE - HILLSBORO via TRI-RAIL,0,14-01,18JUN_1402
BCT14,18JUN_muwtf,18JUN_14-01_6_muwtf,CENTRAL TERMINAL,1,14-01,18JUN_1401
BCT14,18JUN_muwtf,18JUN_14-01_7_muwtf,POWERLINE - HILLSBORO via TRI-RAIL,0,14-01,18JUN_1402
BCT14,18JUN_muwtf,18JUN_14-01_8_muwtf,CENTRAL TERMINAL,1,14-01,18JUN_1401
BCT14,18JUN_muwtf,18JUN_14-01_9_muwtf,POWERLINE - HILLSBORO via TRI-RAIL,0,14-01,18JUN_1402
BCT14,18JUN_muwtf,18JUN_14-01_10_muwtf,CENTRAL TERMINAL,1,14-01,18JUN_1401
BCT14,18JUN_muwtf,18JUN_14-01_11_muwtf,POWERLINE - HILLSBORO via TRI-RAIL,0,14-01,18JUN_1402
BCT14,18JUN_muwtf,18JUN_14-01_12_muwtf,CENTRAL TERMINAL,1,14-01,18JUN_1401
BCT14,18JUN_muwtf,18JUN_14-01_13_muwtf,POWERLINE - HILLSBORO via TRI-RAIL,0,14-01,18JUN_1402
BCT14,18JUN_muwtf,18JUN_14-01_14_muwtf,CENTRAL TERMINAL,1,14-01,18JUN_1401
BCT14,18JUN_muwtf,18JUN_14-01_15_muwtf,POWERLINE - HILLSBORO via TRI-RAIL,0,14-01,18JUN_1402
BCT14,18JUN_muwtf,18JUN_14-02_1_muwtf,POWERLINE - HILLSBORO via TRI-RAIL,0,14-02,18JUN_1402
BCT14,18JUN_muwtf,18JUN_14-02_2_muwtf,CENTRAL TERMINAL,1,14-02,18JUN_1401
BCT14,18JUN_muwtf,18JUN_14-02_3_muwtf,POWERLINE - HILLSBORO via TRI-RAIL,0,14-02,18JUN_1402
BCT14,18JUN_muwtf,18JUN_14-02_4_muwtf,CENTRAL TERMINAL,1,14-02,18JUN_1401
BCT14,18JUN_muwtf,18JUN_14-02_5_muwtf,POWERLINE - HILLSBORO via TRI-RAIL,0,14-02,18JUN_1402
BCT14,18JUN_muwtf,18JUN_14-02_6_muwtf,CENTRAL TERMINAL,1,14-02,18JUN_1401
